RH09_ACC

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       35       35          0            0         230          0
     1       41       49         10          140         151         10
     2       35       17          7          140         151         10
     3       55       45         13           40          51         10
     4       55       20         19          136         147         10
     5       15       30         26          167         178         10
     6       25       30          3          133         144         10
     7       20       50          5          105         116         10
     8       10       43          9          170         181         10
     9       55       60         16          107         118         10
    10       30       60         16          177         188         10
    11       20       65         12          142         153         10
    12       50       35         19          139         150         10
    13       30       25         23           87          98         10
    14       15       10         20           45          56         10
    15       30        5          8           58          69         10
    16       10       20         19           39          50         10
    17        5       30          2           49          60         10
    18       20       40         12           88          99         10
    19       15       60         17          109         120         10
    20       45       65          9           55          66         10
    21       45       20         11           76          87         10
    22       45       10         18           59          70         10
    23       55        5         29          121         132         10
    24       65       35          3           44          55         10
    25       65       20          6           85          96         10
    26       45       30         17           54          65         10
    27       35       40         16           33          44         10
    28       41       37         16           67          78         10
    29       64       42          9          178         189         10
    30       40       60         21           62          73         10
    31       31       52         27          173         184         10
    32       35       69         23          120         131         10
    33       53       52         11          120         131         10
    34       65       55         14           72          83         10
    35       63       65          8           67          78         10
    36        2       60          5          152         163         10
    37       20       20          8          192         203         10
    38        5        5         16          153         164         10
    39       60       12         31          155         166         10
    40       40       25          9           93         104         10
    41       42        7          5           70          81         10
    42       24       12          5           66          77         10
    43       23        3          7           66          77         10
    44       11       14         18           33          44         10
    45        6       38         16           37          48         10
    46        2       48          1           98         109         10
    47        8       56         27           55          66         10
    48       13       52         36           49          60         10
    49        6       68         30           44          55         10
    50       47       47         13          133         144         10
    51       49       58         10           92         103         10
    52       27       43          9          195         206         10
    53       37       31         14          113         124         10
    54       57       29         18           98         109         10
    55       63       23          2          125         136         10
    56       53       12          6           32          43         10
    57       32       12          7           52          63         10
    58       36       26         18          147         158         10
    59       21       24         28           79          90         10
    60       17       34          3           62          73         10
    61       12       24         13           27          38         10
    62       24       58         19          185         196         10
    63       27       69         10          152         163         10
    64       15       77          9          131         142         10
    65       62       77         20           65          76         10
    66       49       73         25          141         152         10
    67       67        5         25           73          84         10
    68       56       39         36           32          43         10
    69       37       47          6           17          28         10
    70       37       56          5          181         192         10
    71       57       68         15           40          51         10
    72       47       16         25           80          91         10
    73       44       17          9           57          68         10
    74       46       13          8          148         159         10
    75       49       11         18           86          97         10
    76       49       42         13          191         202         10
    77       53       43         14           28          39         10
    78       61       52          3           77          88         10
    79       57       48         23          179         190         10
    80       56       37          6           69          80         10
    81       55       54         26           34          45         10
    82       15       47         16           55          66         10
    83       14       37         11           82          93         10
    84       11       31          7           58          69         10
    85       16       22         41          163         174         10
    86        4       18         35          134         145         10
    87       28       18         26          134         145         10
    88       26       52          9           67          78         10
    89       26       35         15            9          20         10
    90       31       67          3           93         104         10
    91       15       19          1          139         150         10
    92       22       22          2           60          71         10
    93       18       24         22           49          60         10
    94       26       27         27          121         132         10
    95       25       24         20           26          37         10
    96       22       27         11          157         168         10
    97       25       21         12          136         147         10
    98       19       21         10          151         162         10
    99       20       26          9           97         108         10
   100       18       18         17           32          43         10

EVENTS
# TYPE  TRIGGER_TIME  DURATION  MULTIPLIER/SEVERITY  NODES...
ACCIDENT 128.0 29.5 2.04 3 7 11 19 36 47 48 49 52 62 64 82 88

ACCIDENT 144.5 12.9 5.88 5 2 15 22 41 43 57 58 87

