RM05

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       35       35          0            0         230          0
     1       41       49         10          130         150         10
     2       35       17          7          121         141         10
     3       55       45         13          114         134         10
     4       55       20         19          132         152         10
     5       15       30         26          124         144         10
     6       25       30          3           73          93         10
     7       20       50          5           47          67         10
     8       10       43          9          135         155         10
     9       55       60         16          113         133         10
    10       30       60         16           81         101         10
    11       20       65         12           46          66         10
    12       50       35         19          114         134         10
    13       30       25         23          151         171         10
    14       15       10         20           32          52         10
    15       30        5          8           77          97         10
    16       10       20         19          134         154         10
    17        5       30          2           79          99         10
    18       20       40         12          105         125         10
    19       15       60         17           32          52         10
    20       45       65          9           38          58         10
    21       45       20         11          137         157         10
    22       45       10         18           97         117         10
    23       55        5         29          123         143         10
    24       65       35          3           82         102         10
    25       65       20          6          116         136         10
    26       45       30         17           43          63         10
    27       35       40         16          198         218         10
    28       41       37         16           41          61         10
    29       64       42          9           30          50         10
    30       40       60         21          103         123         10
    31       31       52         27          115         135         10
    32       35       69         23          110         130         10
    33       53       52         11           32          52         10
    34       65       55         14           65          85         10
    35       63       65          8           62          82         10
    36        2       60          5          115         135         10
    37       20       20          8           75          95         10
    38        5        5         16           99         119         10
    39       60       12         31          103         123         10
    40       40       25          9          189         209         10
    41       42        7          5           38          58         10
    42       24       12          5           64          84         10
    43       23        3          7           74          94         10
    44       11       14         18          170         190         10
    45        6       38         16          161         181         10
    46        2       48          1          145         165         10
    47        8       56         27          143         163         10
    48       13       52         36          107         127         10
    49        6       68         30           44          64         10
    50       47       47         13          161         181         10
    51       49       58         10          123         143         10
    52       27       43          9          168         188         10
    53       37       31         14           48          68         10
    54       57       29         18          131         151         10
    55       63       23          2           85         105         10
    56       53       12          6          158         178         10
    57       32       12          7           28          48         10
    58       36       26         18            9          29         10
    59       21       24         28          183         203         10
    60       17       34          3           36          56         10
    61       12       24         13           74          94         10
    62       24       58         19           38          58         10
    63       27       69         10          102         122         10
    64       15       77          9           67          87         10
    65       62       77         20           50          70         10
    66       49       73         25           88         108         10
    67       67        5         25           59          79         10
    68       56       39         36          139         159         10
    69       37       47          6           85         105         10
    70       37       56          5           38          58         10
    71       57       68         15          139         159         10
    72       47       16         25          170         190         10
    73       44       17          9          168         188         10
    74       46       13          8           57          77         10
    75       49       11         18          150         170         10
    76       49       42         13          102         122         10
    77       53       43         14           88         108         10
    78       61       52          3          172         192         10
    79       57       48         23           84         104         10
    80       56       37          6          124         144         10
    81       55       54         26           38          58         10
    82       15       47         16          177         197         10
    83       14       37         11           55          75         10
    84       11       31          7           64          84         10
    85       16       22         41          115         135         10
    86        4       18         35          130         150         10
    87       28       18         26           58          78         10
    88       26       52          9          110         130         10
    89       26       35         15          197         217         10
    90       31       67          3           83         103         10
    91       15       19          1          131         151         10
    92       22       22          2           98         118         10
    93       18       24         22          185         205         10
    94       26       27         27           95         115         10
    95       25       24         20           25          45         10
    96       22       27         11          116         136         10
    97       25       21         12          163         183         10
    98       19       21         10           78          98         10
    99       20       26          9          176         196         10
   100       18       18         17          153         173         10
