RCH03

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       40       50          0            0         240          0
     1       25       85         20           70          90         10
     2       22       75         30          144         164         10
     3       22       85         10           63          83         10
     4       20       80         40          173         193         10
     5       20       85         20          133         153         10
     6       18       75         20           85         105         10
     7       15       75         20           80         100         10
     8       15       80         10          175         195         10
     9       10       35         20          180         200         10
    10       10       40         30          172         192         10
    11        8       40         40          186         206         10
    12        8       45         20           75          95         10
    13        5       35         10           70          90         10
    14        5       45         10          175         195         10
    15        2       40         20          104         124         10
    16        0       40         20          176         196         10
    17        0       45         20           65          85         10
    18       44        5         20           45          65         10
    19       42       10         40          106         126         10
    20       42       15         10          112         132         10
    21       40        5         10          121         141         10
    22       40       15         40           68          88         10
    23       38        5         30          112         132         10
    24       38       15         10          171         191         10
    25       35        5         20          109         129         10
    26       95       30         30           59          79         10
    27       95       35         20          139         159         10
    28       92       30         10          109         129         10
    29       90       35         10           52          72         10
    30       88       30         10           93         113         10
    31       88       35         20          118         138         10
    32       87       30         10          138         158         10
    33       85       25         10           63          83         10
    34       85       35         30           61          81         10
    35       67       85         20          110         130         10
    36       65       85         40          134         154         10
    37       65       82         10          134         154         10
    38       62       80         30           66          86         10
    39       60       80         10           62          82         10
    40       60       85         30           40          60         10
    41       58       75         20          122         142         10
    42       55       80         10          105         125         10
    43       55       85         20           38          58         10
    44       55       82         10           71          91         10
    45       20       82         10          158         178         10
    46       18       80         10          163         183         10
    47        2       45         10           75          95         10
    48       42        5         10          106         126         10
    49       42       12         10           55          75         10
    50       72       35         30          178         198         10
    51       55       20         19           46          66         10
    52       25       30          3          118         138         10
    53       20       50          5          128         148         10
    54       55       60         16          104         124         10
    55       30       60         16           96         116         10
    56       50       35         19           43          63         10
    57       30       25         23          176         196         10
    58       15       10         20          110         130         10
    59       10       20         19          124         144         10
    60       15       60         17           69          89         10
    61       45       65          9          156         176         10
    62       65       35          3          142         162         10
    63       65       20          6           97         117         10
    64       45       30         17          150         170         10
    65       35       40         16          150         170         10
    66       41       37         16           59          79         10
    67       64       42          9           70          90         10
    68       40       60         21          188         208         10
    69       31       52         27           51          71         10
    70       35       69         23           27          47         10
    71       65       55         14          161         181         10
    72       63       65          8           64          84         10
    73        2       60          5          149         169         10
    74       20       20          8           67          87         10
    75        5        5         16           87         107         10
    76       60       12         31           56          76         10
    77       23        3          7           57          77         10
    78        8       56         27           54          74         10
    79        6       68         30          157         177         10
    80       47       47         13          175         195         10
    81       49       58         10           36          56         10
    82       27       43          9          202         222         10
    83       37       31         14           31          51         10
    84       57       29         18          160         180         10
    85       63       23          2           38          58         10
    86       21       24         28           32          52         10
    87       12       24         13          120         140         10
    88       24       58         19           32          52         10
    89       67        5         25          147         167         10
    90       37       47          6          141         161         10
    91       49       42         13          202         222         10
    92       53       43         14          123         143         10
    93       61       52          3          123         143         10
    94       57       48         23          181         201         10
    95       56       37          6           33          53         10
    96       55       54         26          172         192         10
    97        4       18         35          159         179         10
    98       26       52          9          137         157         10
    99       26       35         15           44          64         10
   100       31       67          3           19          39         10
