RCH06_ACC

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       40       50          0            0         240          0
     1       25       85         20          151         176         10
     2       22       75         30           68          93         10
     3       22       85         10          134         159         10
     4       20       80         40          103         128         10
     5       20       85         20           40          65         10
     6       18       75         20           33          58         10
     7       15       75         20          115         140         10
     8       15       80         10          141         166         10
     9       10       35         20           56          81         10
    10       10       40         30           38          63         10
    11        8       40         40          121         146         10
    12        8       45         20           82         107         10
    13        5       35         10           67          92         10
    14        5       45         10          166         191         10
    15        2       40         20           85         110         10
    16        0       40         20           86         111         10
    17        0       45         20          107         132         10
    18       44        5         20           78         103         10
    19       42       10         40          143         168         10
    20       42       15         10          182         207         10
    21       40        5         10           95         120         10
    22       40       15         40           70          95         10
    23       38        5         30           64          89         10
    24       38       15         10          126         151         10
    25       35        5         20          133         158         10
    26       95       30         30           62          87         10
    27       95       35         20           77         102         10
    28       92       30         10          140         165         10
    29       90       35         10           81         106         10
    30       88       30         10           55          80         10
    31       88       35         20          164         189         10
    32       87       30         10          114         139         10
    33       85       25         10           51          76         10
    34       85       35         30           85         110         10
    35       67       85         20          101         126         10
    36       65       85         40          174         199         10
    37       65       82         10           43          68         10
    38       62       80         30          135         160         10
    39       60       80         10           95         120         10
    40       60       85         30          150         175         10
    41       58       75         20           42          67         10
    42       55       80         10           82         107         10
    43       55       85         20           63          88         10
    44       55       82         10          123         148         10
    45       20       82         10           75         100         10
    46       18       80         10          114         139         10
    47        2       45         10           64          89         10
    48       42        5         10           50          75         10
    49       42       12         10          169         194         10
    50       72       35         30          133         158         10
    51       55       20         19           96         121         10
    52       25       30          3          132         157         10
    53       20       50          5           86         111         10
    54       55       60         16           35          60         10
    55       30       60         16          133         158         10
    56       50       35         19          180         205         10
    57       30       25         23           66          91         10
    58       15       10         20          131         156         10
    59       10       20         19          120         145         10
    60       15       60         17           27          52         10
    61       45       65          9          186         211         10
    62       65       35          3           36          61         10
    63       65       20          6          149         174         10
    64       45       30         17          165         190         10
    65       35       40         16           14          39         10
    66       41       37         16          106         131         10
    67       64       42          9           36          61         10
    68       40       60         21          206         231         10
    69       31       52         27            9          34         10
    70       35       69         23          106         131         10
    71       65       55         14           99         124         10
    72       63       65          8          182         207         10
    73        2       60          5          102         127         10
    74       20       20          8           60          85         10
    75        5        5         16           85         110         10
    76       60       12         31          150         175         10
    77       23        3          7           80         105         10
    78        8       56         27          180         205         10
    79        6       68         30           98         123         10
    80       47       47         13          195         220         10
    81       49       58         10           21          46         10
    82       27       43          9           21          46         10
    83       37       31         14           25          50         10
    84       57       29         18           91         116         10
    85       63       23          2          162         187         10
    86       21       24         28          162         187         10
    87       12       24         13           38          63         10
    88       24       58         19           46          71         10
    89       67        5         25           55          80         10
    90       37       47          6           91         116         10
    91       49       42         13           90         115         10
    92       53       43         14          101         126         10
    93       61       52          3          179         204         10
    94       57       48         23          173         198         10
    95       56       37          6           85         110         10
    96       55       54         26          167         192         10
    97        4       18         35           81         106         10
    98       26       52          9           17          42         10
    99       26       35         15           75         100         10
   100       31       67          3           25          50         10

EVENTS
# TYPE  TRIGGER_TIME  DURATION  MULTIPLIER/SEVERITY  NODES...
ACCIDENT 109.3 69.1 5.88 5 30 32 33 50 51 56 62 63 76 80 84 85 89 91 92 95

ACCIDENT 109.8 33.6 1.2 2 9 13 52 58 59 65 74 75 82 86 87 90 97 99

ACCIDENT 119.6 67.9 5.88 5 61 68 70

