RE07

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       35       35          0            0         230          0
     1       41       49         10           44          89         10
     2       35       17          7           25          70         10
     3       55       45         13           31          76         10
     4       55       20         19           90         135         10
     5       15       30         26          144         189         10
     6       25       30          3           11          56         10
     7       20       50          5           92         137         10
     8       10       43          9          149         194         10
     9       55       60         16           58         103         10
    10       30       60         16          138         183         10
    11       20       65         12           94         139         10
    12       50       35         19           94         139         10
    13       30       25         23          137         182         10
    14       15       10         20          143         188         10
    15       30        5          8           89         134         10
    16       10       20         19          154         199         10
    17        5       30          2           43          88         10
    18       20       40         12          167         212         10
    19       15       60         17           73         118         10
    20       45       65          9           82         127         10
    21       45       20         11           18          63         10
    22       45       10         18           27          72         10
    23       55        5         29          140         185         10
    24       65       35          3           68         113         10
    25       65       20          6           79         124         10
    26       45       30         17          152         197         10
    27       35       40         16            5          50         10
    28       41       37         16          185         230         10
    29       64       42          9           56         101         10
    30       40       60         21          160         205         10
    31       31       52         27           40          85         10
    32       35       69         23           74         119         10
    33       53       52         11           25          70         10
    34       65       55         14           36          81         10
    35       63       65          8           70         115         10
    36        2       60          5          113         158         10
    37       20       20          8           91         136         10
    38        5        5         16          108         153         10
    39       60       12         31           36          81         10
    40       40       25          9          154         199         10
    41       42        7          5           33          78         10
    42       24       12          5           87         132         10
    43       23        3          7          136         181         10
    44       11       14         18          150         195         10
    45        6       38         16          164         209         10
    46        2       48          1           80         125         10
    47        8       56         27           37          82         10
    48       13       52         36          123         168         10
    49        6       68         30          109         154         10
    50       47       47         13           17          62         10
    51       49       58         10          148         193         10
    52       27       43          9           14          59         10
    53       37       31         14          172         217         10
    54       57       29         18           53          98         10
    55       63       23          2           37          82         10
    56       53       12          6           91         136         10
    57       32       12          7           23          68         10
    58       36       26         18          122         167         10
    59       21       24         28           37          82         10
    60       17       34          3          145         190         10
    61       12       24         13           95         140         10
    62       24       58         19           36          81         10
    63       27       69         10          155         200         10
    64       15       77          9          127         172         10
    65       62       77         20           50          95         10
    66       49       73         25           91         136         10
    67       67        5         25           44          89         10
    68       56       39         36          110         155         10
    69       37       47          6           34          79         10
    70       37       56          5           21          66         10
    71       57       68         15           97         142         10
    72       47       16         25           22          67         10
    73       44       17          9          166         211         10
    74       46       13          8          125         170         10
    75       49       11         18          126         171         10
    76       49       42         13          172         217         10
    77       53       43         14          136         181         10
    78       61       52          3           98         143         10
    79       57       48         23           88         133         10
    80       56       37          6           83         128         10
    81       55       54         26           84         129         10
    82       15       47         16           23          68         10
    83       14       37         11           32          77         10
    84       11       31          7           57         102         10
    85       16       22         41           62         107         10
    86        4       18         35           56         101         10
    87       28       18         26           45          90         10
    88       26       52          9           31          76         10
    89       26       35         15            9          54         10
    90       31       67          3          149         194         10
    91       15       19          1          142         187         10
    92       22       22          2          100         145         10
    93       18       24         22           20          65         10
    94       26       27         27          182         227         10
    95       25       24         20           80         125         10
    96       22       27         11          153         198         10
    97       25       21         12           60         105         10
    98       19       21         10           21          66         10
    99       20       26          9           17          62         10
   100       18       18         17          117         162         10
