RH07

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       35       35          0            0         230          0
     1       41       49         10          185         197         10
     2       35       17          7          148         160         10
     3       55       45         13          141         153         10
     4       55       20         19           33          45         10
     5       15       30         26           67          79         10
     6       25       30          3           44          56         10
     7       20       50          5           78          90         10
     8       10       43          9          111         123         10
     9       55       60         16           32          44         10
    10       30       60         16          117         129         10
    11       20       65         12           34          46         10
    12       50       35         19           94         106         10
    13       30       25         23          165         177         10
    14       15       10         20          166         178         10
    15       30        5          8          138         150         10
    16       10       20         19           88         100         10
    17        5       30          2          164         176         10
    18       20       40         12          144         156         10
    19       15       60         17          149         161         10
    20       45       65          9           71          83         10
    21       45       20         11          152         164         10
    22       45       10         18          160         172         10
    23       55        5         29          145         157         10
    24       65       35          3           68          80         10
    25       65       20          6           37          49         10
    26       45       30         17           11          23         10
    27       35       40         16          165         177         10
    28       41       37         16          141         153         10
    29       64       42          9          164         176         10
    30       40       60         21           67          79         10
    31       31       52         27           17          29         10
    32       35       69         23          110         122         10
    33       53       52         11          112         124         10
    34       65       55         14           36          48         10
    35       63       65          8           86          98         10
    36        2       60          5          161         173         10
    37       20       20          8           63          75         10
    38        5        5         16           93         105         10
    39       60       12         31          153         165         10
    40       40       25          9           50          62         10
    41       42        7          5           77          89         10
    42       24       12          5           38          50         10
    43       23        3          7          157         169         10
    44       11       14         18           59          71         10
    45        6       38         16          124         136         10
    46        2       48          1           43          55         10
    47        8       56         27          146         158         10
    48       13       52         36          181         193         10
    49        6       68         30          169         181         10
    50       47       47         13          172         184         10
    51       49       58         10          149         161         10
    52       27       43          9          140         152         10
    53       37       31         14          192         204         10
    54       57       29         18          105         117         10
    55       63       23          2          140         152         10
    56       53       12          6          106         118         10
    57       32       12          7           78          90         10
    58       36       26         18           51          63         10
    59       21       24         28          151         163         10
    60       17       34          3           80          92         10
    61       12       24         13          158         170         10
    62       24       58         19          132         144         10
    63       27       69         10          120         132         10
    64       15       77          9          117         129         10
    65       62       77         20          107         119         10
    66       49       73         25          158         170         10
    67       67        5         25           74          86         10
    68       56       39         36          110         122         10
    69       37       47          6           45          57         10
    70       37       56          5          110         122         10
    71       57       68         15          162         174         10
    72       47       16         25          121         133         10
    73       44       17          9          109         121         10
    74       46       13          8          160         172         10
    75       49       11         18           56          68         10
    76       49       42         13          177         189         10
    77       53       43         14          138         150         10
    78       61       52          3           86          98         10
    79       57       48         23          158         170         10
    80       56       37          6          118         130         10
    81       55       54         26           76          88         10
    82       15       47         16          158         170         10
    83       14       37         11          190         202         10
    84       11       31          7           39          51         10
    85       16       22         41          153         165         10
    86        4       18         35           92         104         10
    87       28       18         26          138         150         10
    88       26       52          9           75          87         10
    89       26       35         15          188         200         10
    90       31       67          3          107         119         10
    91       15       19          1          154         166         10
    92       22       22          2           72          84         10
    93       18       24         22          173         185         10
    94       26       27         27          131         143         10
    95       25       24         20          140         152         10
    96       22       27         11          155         167         10
    97       25       21         12           69          81         10
    98       19       21         10           28          40         10
    99       20       26          9          104         116         10
   100       18       18         17          150         162         10
