RH09

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       35       35          0            0         230          0
     1       41       49         10           21          29         10
     2       35       17          7           35          43         10
     3       55       45         13           22          30         10
     4       55       20         19          174         182         10
     5       15       30         26          142         150         10
     6       25       30          3          153         161         10
     7       20       50          5          180         188         10
     8       10       43          9           64          72         10
     9       55       60         16          114         122         10
    10       30       60         16          111         119         10
    11       20       65         12          118         126         10
    12       50       35         19          151         159         10
    13       30       25         23          114         122         10
    14       15       10         20          175         183         10
    15       30        5          8           90          98         10
    16       10       20         19          110         118         10
    17        5       30          2          157         165         10
    18       20       40         12           25          33         10
    19       15       60         17           32          40         10
    20       45       65          9           79          87         10
    21       45       20         11           75          83         10
    22       45       10         18          105         113         10
    23       55        5         29          120         128         10
    24       65       35          3          118         126         10
    25       65       20          6           99         107         10
    26       45       30         17           73          81         10
    27       35       40         16          140         148         10
    28       41       37         16           98         106         10
    29       64       42          9           53          61         10
    30       40       60         21          125         133         10
    31       31       52         27           23          31         10
    32       35       69         23          167         175         10
    33       53       52         11          114         122         10
    34       65       55         14          127         135         10
    35       63       65          8          133         141         10
    36        2       60          5           82          90         10
    37       20       20          8          147         155         10
    38        5        5         16          123         131         10
    39       60       12         31          116         124         10
    40       40       25          9           76          84         10
    41       42        7          5          116         124         10
    42       24       12          5          136         144         10
    43       23        3          7           44          52         10
    44       11       14         18          140         148         10
    45        6       38         16          163         171         10
    46        2       48          1          156         164         10
    47        8       56         27          177         185         10
    48       13       52         36           65          73         10
    49        6       68         30           77          85         10
    50       47       47         13          162         170         10
    51       49       58         10          132         140         10
    52       27       43          9           52          60         10
    53       37       31         14          131         139         10
    54       57       29         18          176         184         10
    55       63       23          2          140         148         10
    56       53       12          6          119         127         10
    57       32       12          7          127         135         10
    58       36       26         18           49          57         10
    59       21       24         28           46          54         10
    60       17       34          3          140         148         10
    61       12       24         13           80          88         10
    62       24       58         19          176         184         10
    63       27       69         10           88          96         10
    64       15       77          9          110         118         10
    65       62       77         20          164         172         10
    66       49       73         25          157         165         10
    67       67        5         25          122         130         10
    68       56       39         36          149         157         10
    69       37       47          6          150         158         10
    70       37       56          5          151         159         10
    71       57       68         15           50          58         10
    72       47       16         25           22          30         10
    73       44       17          9          145         153         10
    74       46       13          8          177         185         10
    75       49       11         18          162         170         10
    76       49       42         13          197         205         10
    77       53       43         14           87          95         10
    78       61       52          3          133         141         10
    79       57       48         23          172         180         10
    80       56       37          6          182         190         10
    81       55       54         26          119         127         10
    82       15       47         16           99         107         10
    83       14       37         11           87          95         10
    84       11       31          7          173         181         10
    85       16       22         41          148         156         10
    86        4       18         35           96         104         10
    87       28       18         26           26          34         10
    88       26       52          9           84          92         10
    89       26       35         15          174         182         10
    90       31       67          3           34          42         10
    91       15       19          1           53          61         10
    92       22       22          2          109         117         10
    93       18       24         22           37          45         10
    94       26       27         27           37          45         10
    95       25       24         20           87          95         10
    96       22       27         11          106         114         10
    97       25       21         12           72          80         10
    98       19       21         10          169         177         10
    99       20       26          9          114         122         10
   100       18       18         17          149         157         10
