RCE05

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       40       50          0            0         240          0
     1       25       85         20           38         188         10
     2       22       75         30           31         181         10
     3       22       85         10           90         240         10
     4       20       80         40           36         186         10
     5       20       85         20           40         190         10
     6       18       75         20           33         183         10
     7       15       75         20           35         185         10
     8       15       80         10           39         189         10
     9       10       35         20           34         184         10
    10       10       40         30           36         186         10
    11        8       40         40           76         226         10
    12        8       45         20           32         182         10
    13        5       35         10           73         223         10
    14        5       45         10           71         221         10
    15        2       40         20           83         233         10
    16        0       40         20           41         191         10
    17        0       45         20           40         190         10
    18       44        5         20           50         200         10
    19       42       10         40           40         190         10
    20       42       15         10           35         185         10
    21       40        5         10           45         195         10
    22       40       15         40           90         240         10
    23       38        5         30           70         220         10
    24       38       15         10           35         185         10
    25       35        5         20           69         219         10
    26       95       30         30           59         209         10
    27       95       35         20           57         207         10
    28       92       30         10           56         206         10
    29       90       35         10           52         202         10
    30       88       30         10           73         223         10
    31       88       35         20           50         200         10
    32       87       30         10           68         218         10
    33       85       25         10           51         201         10
    34       85       35         30           47         197         10
    35       67       85         20           86         236         10
    36       65       85         40           43         193         10
    37       65       82         10           41         191         10
    38       62       80         30           37         187         10
    39       60       80         10           53         203         10
    40       60       85         30           40         190         10
    41       58       75         20           59         209         10
    42       55       80         10           34         184         10
    43       55       85         20           38         188         10
    44       55       82         10           90         240         10
    45       20       82         10           90         240         10
    46       18       80         10           37         187         10
    47        2       45         10           90         240         10
    48       42        5         10           45         195         10
    49       42       12         10           38         188         10
    50       72       35         30           55         205         10
    51       55       20         19           56         206         10
    52       25       30          3           90         240         10
    53       20       50          5           47         197         10
    54       55       60         16           90         240         10
    55       30       60         16           90         240         10
    56       50       35         19           18         168         10
    57       30       25         23           27         177         10
    58       15       10         20           47         197         10
    59       10       20         19           52         202         10
    60       15       60         17           33         183         10
    61       45       65          9           16         166         10
    62       65       35          3           29         179         10
    63       65       20          6           39         189         10
    64       45       30         17           21         171         10
    65       35       40         16           31         181         10
    66       41       37         16           43         193         10
    67       64       42          9           88         238         10
    68       40       60         21           90         240         10
    69       31       52         27           71         221         10
    70       35       69         23           20         170         10
    71       65       55         14           37         187         10
    72       63       65          8           73         223         10
    73        2       60          5           39         189         10
    74       20       20          8           90         240         10
    75        5        5         16           90         240         10
    76       60       12         31           51         201         10
    77       23        3          7           50         200         10
    78        8       56         27           44         194         10
    79        6       68         30           57         207         10
    80       47       47         13           28         178         10
    81       49       58         10           12         162         10
    82       27       43          9           46         196         10
    83       37       31         14           19         169         10
    84       57       29         18           57         207         10
    85       63       23          2           35         185         10
    86       21       24         28           64         214         10
    87       12       24         13           44         194         10
    88       24       58         19           84         234         10
    89       67        5         25           52         202         10
    90       37       47          6           75         225         10
    91       49       42         13           90         240         10
    92       53       43         14           90         240         10
    93       61       52          3           21         171         10
    94       57       48         23           57         207         10
    95       56       37          6           21         171         10
    96       55       54         26           90         240         10
    97        4       18         35           86         236         10
    98       26       52          9           67         217         10
    99       26       35         15           21         171         10
   100       31       67          3           19         169         10
