RE02

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       35       35          0            0         230          0
     1       41       49         10           28          83         10
     2       35       17          7          115         170         10
     3       55       45         13           77         132         10
     4       55       20         19           72         127         10
     5       15       30         26          154         209         10
     6       25       30          3           11          66         10
     7       20       50          5          130         185         10
     8       10       43          9           34          89         10
     9       55       60         16           84         139         10
    10       30       60         16           25          80         10
    11       20       65         12           34          89         10
    12       50       35         19           15          70         10
    13       30       25         23          118         173         10
    14       15       10         20          116         171         10
    15       30        5          8           91         146         10
    16       10       20         19          123         178         10
    17        5       30          2           30          85         10
    18       20       40         12           16          71         10
    19       15       60         17          129         184         10
    20       45       65          9           68         123         10
    21       45       20         11           72         127         10
    22       45       10         18           27          82         10
    23       55        5         29           53         108         10
    24       65       35          3           86         141         10
    25       65       20          6           56         111         10
    26       45       30         17           90         145         10
    27       35       40         16           67         122         10
    28       41       37         16          100         155         10
    29       64       42          9           30          85         10
    30       40       60         21          136         191         10
    31       31       52         27          135         190         10
    32       35       69         23           95         150         10
    33       53       52         11           80         135         10
    34       65       55         14           80         135         10
    35       63       65          8           41          96         10
    36        2       60          5           48         103         10
    37       20       20          8           78         133         10
    38        5        5         16           42          97         10
    39       60       12         31          142         197         10
    40       40       25          9          140         195         10
    41       42        7          5           29          84         10
    42       24       12          5           41          96         10
    43       23        3          7           77         132         10
    44       11       14         18           74         129         10
    45        6       38         16           55         110         10
    46        2       48          1           91         146         10
    47        8       56         27           66         121         10
    48       13       52         36           37          92         10
    49        6       68         30          138         193         10
    50       47       47         13          154         209         10
    51       49       58         10           27          82         10
    52       27       43          9          100         155         10
    53       37       31         14            4          59         10
    54       57       29         18          108         163         10
    55       63       23          2           30          85         10
    56       53       12          6          111         166         10
    57       32       12          7           45         100         10
    58       36       26         18          110         165         10
    59       21       24         28           80         135         10
    60       17       34          3           20          75         10
    61       12       24         13           97         152         10
    62       24       58         19           25          80         10
    63       27       69         10           36          91         10
    64       15       77          9          118         173         10
    65       62       77         20           87         142         10
    66       49       73         25           40          95         10
    67       67        5         25           44          99         10
    68       56       39         36          106         161         10
    69       37       47          6           93         148         10
    70       37       56          5           35          90         10
    71       57       68         15           83         138         10
    72       47       16         25          130         185         10
    73       44       17          9           20          75         10
    74       46       13          8          118         173         10
    75       49       11         18          158         213         10
    76       49       42         13           85         140         10
    77       53       43         14          128         183         10
    78       61       52          3           84         139         10
    79       57       48         23          149         204         10
    80       56       37          6          135         190         10
    81       55       54         26           28          83         10
    82       15       47         16          101         156         10
    83       14       37         11          118         173         10
    84       11       31          7           24          79         10
    85       16       22         41          102         157         10
    86        4       18         35           35          90         10
    87       28       18         26          143         198         10
    88       26       52          9          150         205         10
    89       26       35         15            9          64         10
    90       31       67          3           76         131         10
    91       15       19          1           26          81         10
    92       22       22          2          123         178         10
    93       18       24         22           67         122         10
    94       26       27         27           28          83         10
    95       25       24         20          101         156         10
    96       22       27         11           15          70         10
    97       25       21         12           17          72         10
    98       19       21         10          132         187         10
    99       20       26          9          141         196         10
   100       18       18         17           94         149         10
